condition,mean_authorship_recognition,mean_boilerplate_intensity,mean_phi_content,mean_phi_form,mean_phi_specificity,mean_refusal_intensity,mean_safety_drag,mean_self_audit,n_eval_rows
C01_AC_AIGovernance,,2.2214,8.4397,7.3549,7.82,0.1607,3.8376,4.8586,295
C02_AC_Tobacco,,2.0139,8.5765,7.3412,8.4248,0.0602,2.6412,4.6041,294
C03_Rhetorical_Form_AIGovernance,,2.048,8.5564,6.8614,7.6789,0.1913,2.244,4.4574,298
C04_Rhetorical_Form_Tobacco,,1.1878,8.6724,7.1548,8.4075,0.0612,1.9694,4.1105,294
C05_Cross_Domain_AI_to_Tobacco,,0.6973,8.8892,7.7915,8.8593,0.3098,1.7288,6.821,295
C06_Cross_Domain_Tobacco_to_AI,,0.7177,8.9177,7.8528,8.901,0.3632,1.793,6.8896,299
C07_Self_Audit_With_Context_AI,,2.7825,8.5232,7.0603,8.2077,0.5694,4.8051,8.8646,297
C08_Self_Audit_Context_Void_AI,,3.0473,6.5393,6.6587,6.3252,1.4671,4.357,7.348,298
C09_Authorship_Displacement_Self,3.5391,1.3599,8.4394,6.8465,7.3616,0.4859,2.3825,5.0515,297
C10_Authorship_Displacement_Other,3.5071,1.4404,8.5121,6.8259,7.502,0.5067,2.465,4.7519,297
C11_Self_Minimization_AIGovernance,,3.6064,7.8256,6.7185,7.0828,1.8855,5.629,5.7865,297
C12_Self_Minimization_Control_AIGovernance,,2.629,8.3306,6.6044,8.135,0.2438,2.5539,5.3077,297
